PNO12,req_week_name,Volume
235AK120D119,2006,2
235AKR50D119,2006,0
235AR130C119,2006,0
235BM130D119,2006,1
235BMR50D119,2006,0
23625130C119,2006,1
23668120C119,2006,1
23668130C119,2006,3
23668A30C119,2006,0
236A3130C119,2006,1
236A8120C119,2006,1
236A8130C119,2006,0
236A8A30C119,2006,0
24610120C119,2006,0
24625120C119,2006,12
24625120D119,2006,3
24625130C119,2006,6
24625130D119,2006,2
24625R50C119,2006,5
24625R50D119,2006,0
24668120C119,2006,2
24668130C119,2006,18
24668R50C119,2006,31
246A3120C119,2006,0
246A3130C119,2006,2
246A3R50C119,2006,6
246A81201119,2006,4
246A81204119,2006,1
246A8120C119,2006,15
246A8120D119,2006,54
246A81301119,2006,2
246A81304119,2006,1
246A8130C119,2006,41
246A8130D119,2006,23
246A8MA0C119,2006,0
246A8R501119,2006,1
246A8R504119,2006,1
246A8R50C119,2006,32
246A8R50D119,2006,28
246AK120D119,2006,12
246AK130D119,2006,10
246AKR50D119,2006,9
246AR1201119,2006,5
246AR1301119,2006,0
246ARR501119,2006,0
246BM120D119,2006,0
246BM130D119,2006,2
246BMR50D119,2006,4
25625120C119,2006,0
25625130C119,2006,0
25625230C119,2006,1
25625R50C119,2006,0
25625R70C119,2006,1
25668120C119,2006,8
25668130C119,2006,25
25668220C119,2006,6
25668230C119,2006,18
25668R50C119,2006,8
25668R70C119,2006,9
25668TB0C119,2006,0
25668VC0C119,2006,0
256A3120C119,2006,1
256A3130C119,2006,1
256A3220C119,2006,0
256A3230C119,2006,1
256A3R70C119,2006,0
256BAR70D119,2006,0
256BM230D119,2006,4
256BMR70D119,2006,1
525321100119,2006,0
525321200119,2006,8
52532R200119,2006,1
52532U200119,2006,0
525331100119,2006,0
525331200119,2006,8
52533R200119,2006,0
525351101119,2006,0
525351201119,2006,31
52535R201119,2006,1
525361101119,2006,0
525361201119,2006,22
52536R201119,2006,0
52536U201119,2006,0
525701200119,2006,9
525701201119,2006,1
52570R200119,2006,0
52570R201119,2006,0
525721100119,2006,0
525721200119,2006,1
525721201119,2006,1
52572R200119,2006,0
52572R201119,2006,0
526321200119,2006,4
52632U200119,2006,0
526701200119,2006,0
526701201119,2006,0
526721200119,2006,0
526721201119,2006,0
536111101119,2006,2
536111201119,2006,2
536111301119,2006,0
536111701119,2006,10
53613120C119,2006,0
53613130C119,2006,1
53613170C119,2006,0
536132I0C119,2006,0
53613R50C119,2006,5
536141101119,2006,0
536141201119,2006,1
536141301119,2006,0
53614R501119,2006,0
536721101119,2006,1
53672110C119,2006,0
53672110D119,2006,3
536721201119,2006,2
53672120C119,2006,2
53672120D119,2006,5
536721301119,2006,1
53672130C119,2006,2
53672130D119,2006,7
536721701119,2006,2
